time,state,reason,has_wall,obs_front,quality,wall_dist,wall_yaw(rad),front_min,left_min,mem_dist,mem_yaw,mem_age,corner_state,corner_has,corner_dist,odom_x,odom_y,odom_yaw,vis_score_ahead,vx_cmd,vy_cmd,w_cmd,vx_limited,vy_limited,w_limited,soft_gate
1756472047.4096954,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10091209411621094,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.5105295,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10073208808898926,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.6113935,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10075998306274414,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.7125385,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10104203224182129,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.8137689,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10112667083740234,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.914842,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.1009681224822998,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472048.0160687,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10112214088439941,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472048.1172311,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10105729103088379,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472048.2183735,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10104131698608398,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472048.3199375,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10146069526672363,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472048.420956,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10092020034790039,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
